game_id,player_id,team_id,timeOnIce,goals,assists,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce,gameNumber
2006020355,8471214,15,1028,1,1,3,NA,0,0,0,0,0,NA,NA,0,0,NA,1,847,0,181,105
2006020364,8471214,15,959,0,0,4,NA,0,0,0,0,0,NA,NA,0,0,NA,0,817,3,139,106
2006020386,8471214,15,573,1,0,2,NA,0,0,20,0,0,NA,NA,0,0,NA,1,317,0,256,107
2006020405,8471214,15,1254,0,3,10,NA,0,1,0,0,0,NA,NA,0,0,NA,2,849,0,405,108
2006020420,8471214,15,1686,0,1,6,NA,0,1,2,0,0,NA,NA,0,0,NA,-4,1298,11,377,109
2006020428,8471214,15,1237,1,2,3,NA,0,0,2,0,0,NA,NA,0,0,NA,2,858,22,357,110
2006020441,8471214,15,1562,0,2,7,NA,0,0,0,0,0,NA,NA,0,0,NA,2,1109,0,453,111
2006020471,8471214,15,1184,3,0,12,NA,2,0,0,0,0,NA,NA,0,0,NA,0,820,0,364,112
2006020480,8471214,15,1225,1,2,4,NA,0,0,0,0,0,NA,NA,0,0,NA,2,818,3,404,113
2006020496,8471214,15,1300,1,1,3,NA,0,0,0,0,0,NA,NA,0,0,NA,2,1142,0,158,114
2006020516,8471214,15,1256,0,0,5,NA,0,0,0,0,0,NA,NA,0,0,NA,-1,804,88,364,115
2006020523,8471214,15,1186,1,1,4,NA,1,1,0,0,0,NA,NA,0,0,NA,-1,864,20,302,116
2006020535,8471214,15,1267,1,0,6,NA,0,0,2,2,2,NA,NA,0,0,NA,-1,784,154,329,117
2006020547,8471214,15,1248,0,1,5,NA,0,1,0,0,0,NA,NA,0,0,NA,-2,874,0,374,118
2006020561,8471214,15,1320,0,1,2,NA,0,0,0,0,0,NA,NA,0,0,NA,1,951,73,296,119
2006020572,8471214,15,1203,0,0,7,NA,0,0,0,0,0,NA,NA,0,0,NA,-3,688,71,444,120
2006020585,8471214,15,1543,0,1,7,NA,0,1,0,0,0,NA,NA,0,0,NA,0,1030,0,513,121
2006020603,8471214,15,1104,0,3,7,NA,0,1,4,0,0,NA,NA,0,0,NA,2,808,0,296,122
2006020621,8471214,15,1535,1,1,7,NA,1,1,0,0,0,NA,NA,0,0,NA,0,870,0,665,123
2006020636,8471214,15,1071,2,1,5,NA,0,1,0,0,0,NA,NA,0,0,NA,1,862,0,209,124
2006020655,8471214,15,1130,0,2,6,NA,0,1,0,0,1,NA,NA,0,0,NA,-2,1056,0,74,125
2006020674,8471214,15,1097,0,1,3,NA,0,1,0,0,0,NA,NA,0,0,NA,-2,980,3,114,126
2006020689,8471214,15,1364,0,1,5,NA,0,0,2,0,0,NA,NA,0,0,NA,0,1110,11,243,127
2006020702,8471214,15,1240,1,0,6,NA,0,0,0,0,1,NA,NA,0,0,NA,2,1043,0,197,128
2006020717,8471214,15,1266,0,1,2,NA,0,1,2,0,0,NA,NA,0,0,NA,-2,829,26,411,129
2006020728,8471214,15,1327,1,0,4,NA,1,0,2,0,0,NA,NA,0,0,NA,-3,826,6,495,130
2006020743,8471214,15,1069,1,1,2,NA,1,0,0,0,0,NA,NA,0,0,NA,-1,706,4,359,131
2006020760,8471214,15,1617,1,0,7,NA,0,0,0,0,0,NA,NA,0,0,NA,0,1075,31,511,132
2006020776,8471214,15,1292,1,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,-1,590,15,687,133
2006020785,8471214,15,1441,0,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,-2,1080,0,361,134
2006020798,8471214,15,1277,0,0,2,NA,0,0,2,0,0,NA,NA,0,0,NA,-1,1052,7,218,135
2006020801,8471214,15,1058,0,0,2,NA,0,0,2,0,0,NA,NA,0,0,NA,0,804,0,254,136
2006020821,8471214,15,1330,0,1,2,NA,0,0,0,0,0,NA,NA,0,0,NA,3,966,0,364,137
2006020837,8471214,15,1504,1,0,6,NA,1,0,0,0,0,NA,NA,0,0,NA,-1,1224,0,280,138
2006020867,8471214,15,1508,0,0,6,NA,0,0,0,0,0,NA,NA,0,0,NA,0,1248,0,260,139
2006020886,8471214,15,1184,0,0,5,NA,0,0,0,0,0,NA,NA,0,0,NA,-1,897,0,287,140
2006020898,8471214,15,1127,0,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,-2,858,1,268,141
2006020906,8471214,15,1405,0,0,2,NA,0,0,0,0,0,NA,NA,0,0,NA,1,1145,0,260,142
2006020923,8471214,15,1120,0,1,4,NA,0,0,0,1,1,NA,NA,0,0,NA,-1,850,0,270,143
2006020933,8471214,15,1203,1,0,3,NA,0,0,0,1,2,NA,NA,0,0,NA,0,1130,0,73,144
2006020945,8471214,15,1593,2,2,6,NA,0,2,0,0,0,NA,NA,0,0,NA,2,1253,4,336,145
2006020960,8471214,15,1471,1,1,5,NA,0,1,0,0,0,NA,NA,0,0,NA,-2,954,0,517,146
2006020978,8471214,15,1581,0,0,2,NA,0,0,0,2,4,NA,NA,0,0,NA,-1,950,45,586,147
2006020994,8471214,15,1482,0,0,5,NA,0,0,0,1,2,NA,NA,0,0,NA,-1,1082,18,382,148
2006021014,8471214,15,1380,0,0,7,NA,0,0,0,0,1,NA,NA,0,0,NA,-1,1074,7,299,149
2006021024,8471214,15,1282,1,0,10,NA,0,0,0,0,0,NA,NA,0,0,NA,0,930,11,341,150
2006021036,8471214,15,1533,2,0,3,NA,1,0,0,0,0,NA,NA,0,0,NA,-1,1203,0,330,151
2006021053,8471214,15,1419,0,1,3,NA,0,1,0,0,0,NA,NA,0,0,NA,0,1062,9,348,152
2006021063,8471214,15,1189,0,0,5,NA,0,0,2,0,0,NA,NA,0,0,NA,1,685,5,499,153
2006021080,8471214,15,956,0,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,1,877,0,79,154
2006021096,8471214,15,1078,0,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,-1,819,39,220,155
2006021103,8471214,15,1278,2,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,0,1107,113,58,156
2006021121,8471214,15,1230,0,0,2,NA,0,0,0,0,0,NA,NA,0,0,NA,-2,813,0,417,157
2006021134,8471214,15,1411,0,1,4,NA,0,0,0,0,1,NA,NA,0,0,NA,2,1084,0,327,158
